syndra_id,id_type,id_value,source,license
SYN0000144,BRD,BRD-A20239487,lincs_2020,custom_non_commercial
SYN0000145,BRD,BRD-K53561341,lincs_2020,custom_non_commercial
SYN0000146,BRD,BRD-K10466330,lincs_2020,custom_non_commercial
SYN0000147,BRD,BRD-K61691971,lincs_2020,custom_non_commercial
SYN0000148,BRD,BRD-K42573370,lincs_2020,custom_non_commercial
SYN0000149,BRD,BRD-K39569857,lincs_2020,custom_non_commercial
SYN0000150,BRD,BRD-K25079130,lincs_2020,custom_non_commercial
SYN0000151,BRD,BRD-A70731303,lincs_2020,custom_non_commercial
SYN0000152,BRD,BRD-K50324045,lincs_2020,custom_non_commercial
SYN0000153,BRD,BRD-A84189516,lincs_2020,custom_non_commercial
SYN0000154,BRD,BRD-K62353271,lincs_2020,custom_non_commercial
SYN0000155,BRD,BRD-K22848513,lincs_2020,custom_non_commercial
SYN0000156,BRD,BRD-A18763547,lincs_2020,custom_non_commercial
SYN0000157,BRD,BRD-K14329163,lincs_2020,custom_non_commercial
SYN0000158,BRD,BRD-K09668667,lincs_2020,custom_non_commercial
SYN0000159,BRD,BRD-K09784055,lincs_2020,custom_non_commercial
SYN0000160,BRD,BRD-K55160477,lincs_2020,custom_non_commercial
SYN0000161,BRD,BRD-K14221570,lincs_2020,custom_non_commercial
SYN0000162,BRD,BRD-K43796186,lincs_2020,custom_non_commercial
SYN0000163,BRD,BRD-K38687824,lincs_2020,custom_non_commercial
SYN0000164,BRD,BRD-K85242180,lincs_2020,custom_non_commercial
SYN0000165,BRD,BRD-K35010406,lincs_2020,custom_non_commercial
SYN0000166,BRD,BRD-A07870296,lincs_2020,custom_non_commercial
SYN0000167,BRD,BRD-A57798559,lincs_2020,custom_non_commercial
SYN0000168,BRD,BRD-K31342827,lincs_2020,custom_non_commercial
SYN0000169,BRD,BRD-K49448285,lincs_2020,custom_non_commercial
SYN0000170,BRD,BRD-K10882151,lincs_2020,custom_non_commercial
SYN0000171,BRD,BRD-A76641868,lincs_2020,custom_non_commercial
SYN0000172,BRD,BRD-K64178227,lincs_2020,custom_non_commercial
SYN0000173,BRD,BRD-A47706533,lincs_2020,custom_non_commercial
SYN0000174,BRD,BRD-K08287586,lincs_2020,custom_non_commercial
SYN0000175,BRD,BRD-K62910157,lincs_2020,custom_non_commercial
