parent_inchikey,n_brd_ids,brd_ids
QYSMODXJNCJWNA,16,BRD-K01055635; BRD-K03448064; BRD-K07164057; BRD-K09292709; BRD-K12484704; BRD-K18238232; BRD-K27161555; BRD-K30837577; BRD-K35371149; BRD-K42986817; BRD-K43421680; BRD-K43649826; BRD-K51759637; BRD-K85322309; BRD-K91143067; BRD-K91771673
WCMOVSVGEGOMDB,16,BRD-K02248910; BRD-K03725349; BRD-K04411796; BRD-K05886700; BRD-K07008972; BRD-K13969067; BRD-K14502067; BRD-K16535949; BRD-K18337230; BRD-K38571337; BRD-K41418105; BRD-K48775333; BRD-K57073585; BRD-K80553643; BRD-K88616704; BRD-K90256762
XXZIILLLBOPLBY,16,BRD-K00083176; BRD-K12108140; BRD-K14203250; BRD-K26449125; BRD-K27428408; BRD-K27539003; BRD-K28065812; BRD-K52797126; BRD-K55343182; BRD-K58775116; BRD-K64979177; BRD-K77422873; BRD-K84113859; BRD-K86762131; BRD-K88306141; BRD-K98803880
WNHZFTQVONQUSH,16,BRD-K04206413; BRD-K07442049; BRD-K07568447; BRD-K13079805; BRD-K18102341; BRD-K27887926; BRD-K36070105; BRD-K40555995; BRD-K54636101; BRD-K60879194; BRD-K61484514; BRD-K65065275; BRD-K69073546; BRD-K73716473; BRD-K85297660; BRD-K87920375
GWEQQAXOIQTOQH,16,BRD-K00801770; BRD-K03676054; BRD-K04533640; BRD-K07807999; BRD-K26173688; BRD-K26327304; BRD-K32323656; BRD-K41173255; BRD-K47173028; BRD-K48753787; BRD-K65735929; BRD-K76644587; BRD-K78343029; BRD-K83388394; BRD-K85593835; BRD-K87755452
QYHFPUZBYVVXLB,15,BRD-K03394322; BRD-K06592610; BRD-K24053449; BRD-K26822808; BRD-K46594703; BRD-K47690943; BRD-K47808476; BRD-K49553303; BRD-K57732441; BRD-K62019540; BRD-K76999748; BRD-K81927853; BRD-K84091085; BRD-K93605482; BRD-K95842463
YNMAXJORQBUKHH,15,BRD-K05071020; BRD-K06836704; BRD-K09895564; BRD-K14723547; BRD-K22390389; BRD-K28448768; BRD-K53748177; BRD-K66649343; BRD-K73494324; BRD-K78196882; BRD-K83708664; BRD-K85395981; BRD-K90527476; BRD-K92212152; BRD-K99833695
STZYNHZFNFWBAK,15,BRD-K02772785; BRD-K22937431; BRD-K42006110; BRD-K42454450; BRD-K43880650; BRD-K57487331; BRD-K61606206; BRD-K61991236; BRD-K64951577; BRD-K68911617; BRD-K90748376; BRD-K92740670; BRD-K92884627; BRD-K95776192; BRD-K97481123
SIEZSLVXLUPDNY,15,BRD-K07274638; BRD-K18944654; BRD-K26094217; BRD-K28694162; BRD-K39179354; BRD-K51530321; BRD-K62982533; BRD-K64663625; BRD-K66616402; BRD-K77894681; BRD-K86893953; BRD-K91120514; BRD-K92359570; BRD-K93260425; BRD-K97595801
HLSMAPUQSFTYPM,15,BRD-K10055064; BRD-K18454119; BRD-K25329768; BRD-K30797133; BRD-K31921933; BRD-K43456220; BRD-K44258506; BRD-K47492310; BRD-K57138551; BRD-K60203832; BRD-K62714735; BRD-K78269577; BRD-K83567669; BRD-K87931030; BRD-K97086358
LFSFSXVVLAKPPY,15,BRD-K02418197; BRD-K05150608; BRD-K12189280; BRD-K23961390; BRD-K27429081; BRD-K31175437; BRD-K34798063; BRD-K41069217; BRD-K63880531; BRD-K68278258; BRD-K70495648; BRD-K72042177; BRD-K73388776; BRD-K77741497; BRD-K90281509
PLFJTCJSGHSPAZ,15,BRD-K04592856; BRD-K07110772; BRD-K24391905; BRD-K30393343; BRD-K31315646; BRD-K37669227; BRD-K44421914; BRD-K49148689; BRD-K52856667; BRD-K67787765; BRD-K67829818; BRD-K73121863; BRD-K89144439; BRD-K93672499; BRD-K96385755
LVWPDIFFHCBIRV,15,BRD-K05232104; BRD-K22450189; BRD-K23287115; BRD-K25604127; BRD-K25902954; BRD-K31485493; BRD-K46610687; BRD-K53022123; BRD-K55210983; BRD-K66888355; BRD-K71932341; BRD-K76103428; BRD-K76318793; BRD-K89185880; BRD-K96903074
LFCBJIZGBQWHQM,15,BRD-K02921955; BRD-K04163641; BRD-K04498687; BRD-K19526797; BRD-K26924781; BRD-K30022119; BRD-K34475679; BRD-K36796440; BRD-K37033753; BRD-K43992442; BRD-K45342423; BRD-K54123736; BRD-K63998843; BRD-K75853175; BRD-K87884409
KSFWKEJSKQZBOG,15,BRD-K06994380; BRD-K18117162; BRD-K21433749; BRD-K21732483; BRD-K23427405; BRD-K26273412; BRD-K27823380; BRD-K32839286; BRD-K35860167; BRD-K38218737; BRD-K50599016; BRD-K73523458; BRD-K76193544; BRD-K87690520; BRD-K98927248
ULMVXXWMSACXHE,15,BRD-K05415698; BRD-K06187854; BRD-K19764902; BRD-K27622534; BRD-K38546320; BRD-K38965110; BRD-K47539505; BRD-K47611269; BRD-K52827598; BRD-K60272788; BRD-K75090653; BRD-K82777549; BRD-K87779450; BRD-K91662172; BRD-K91850687
